_1,_2,arlington_at_chicago_weed_street_otb,january
2011,1714482,ARLINGTON AT HODGKINS - OTB,MARCH
2011,1671302,ARLINGTON AT WAUKEGAN - OTB,MARCH
2011,338521,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,MARCH
2011,5139712,ARLINGTON PARK RACECOURSE - IT.,MARCH
2011,420026,BALMORAL AT CHAMPAIGN - OTB,MARCH
2011,2639582,BALMORAL AT CRESTWOOD - OTB,MARCH
2011,462853,BALMORAL AT NORMAL - OTB,MARCH
2011,967334,"BALMORAL RACING CLUB, INC.",MARCH
2011,782894,"BALMORAL RACING CLUB, INC. - IT.",MARCH
2011,483107,FAIRMOUNT AT ALTON - OTB,MARCH
2011,965928,FAIRMOUNT AT SAUGET - OTB,MARCH
2011,460346,FAIRMOUNT AT SPRINGFIELD - OTB,MARCH
2011,503884,"FAIRMOUNT PARK, INC.",MARCH
2011,2118120,"FAIRMOUNT PARK, INC. - IT.",MARCH
2011,670181,HAWTHORNE AT AURORA - OTB,MARCH
2011,804560,HAWTHORNE AT BUFFALO GROVE - OTB,MARCH
2011,2516166,"HAWTHORNE AT CHICAGO, CORLISS - OTB",MARCH
2011,1162791,HAWTHORNE AT JOLIET - OTB,MARCH
2011,988364,HAWTHORNE AT MOKENA - OTB,MARCH
2011,168624,HAWTHORNE AT YORKVILLE - OTB,MARCH
2011,4479497,"HAWTHORNE RACE COURSE, INC.",MARCH
2011,973465,"HAWTHORNE RACE COURSE, INC. - IT.",MARCH
2011,733659,MAYWOOD AT ELK GROVE VILLAGE - OTB,MARCH
2011,2397289,MAYWOOD AT NILES - OTB,MARCH
2011,528029,MAYWOOD AT NORTH AURORA - OTB,MARCH
2011,2511320,MAYWOOD AT OAKBROOK - OTB,MARCH
2011,3033870,MAYWOOD PARK TROTTING ASSOCIATION -IT.,MARCH
2011,827340,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",MARCH
2011,536696,QUAD CITY AT LOCKPORT - OTB,MARCH
2011,751607,QUAD CITY AT MCHENRY - OTB,MARCH
2011,881523,QUAD CITY AT ROCKFORD - OTB,MARCH
2011,442198,QUAD CITY AT SOUTH BELOIT - OTB,MARCH
2011,785094,QUAD CITY AT SOUTH ELGIN - OTB,MARCH
2011,732238,"QUAD CITY DOWNS, INC. - IT.",MARCH
2011,1804058,YOUBET ADW,MARCH
2011,3181900,TWIN SPIRES ADW,MARCH
2011,3194953,TVG ADW,MARCH
2011,777170,XPRESSBET ADW,MARCH
2011,3936329,"ARLINGTON AT CHICAGO, WEED STREET -OTB",APRIL 
2011,1801126,ARLINGTON AT HODGKINS - OTB,APRIL 
2011,1820185,ARLINGTON AT WAUKEGAN - OTB,APRIL 
2011,604476,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,APRIL 
2011,5502607,ARLINGTON PARK RACECOURSE - IT.,APRIL 
2011,415198,BALMORAL AT CHAMPAIGN - OTB,APRIL 
2011,2452714,BALMORAL AT CRESTWOOD - OTB,APRIL 
2011,440250,BALMORAL AT NORMAL - OTB,APRIL 
2011,913074,"BALMORAL RACING CLUB, INC.",APRIL 
2011,705192,"BALMORAL RACING CLUB, INC. - IT.",APRIL 
2011,482189,FAIRMOUNT AT ALTON - OTB,APRIL 
2011,1042652,FAIRMOUNT AT SAUGET - OTB,APRIL 
2011,532861,FAIRMOUNT AT SPRINGFIELD - OTB,APRIL 
2011,1017164,"FAIRMOUNT PARK, INC.",APRIL 
2011,2435345,"FAIRMOUNT PARK, INC. - IT.",APRIL 
2011,629555,HAWTHORNE AT AURORA - OTB,APRIL 
