_1,_2,arlington_at_chicago_weed_street_otb,january
2011,4828406,ARLINGTON PARK RACECOURSE - IT.,NOVEMBER 
2011,360772,BALMORAL AT CHAMPAIGN - OTB,NOVEMBER 
2011,2075426,BALMORAL AT CRESTWOOD - OTB,NOVEMBER 
2011,354378,BALMORAL AT NORMAL - OTB,NOVEMBER 
2011,985097,"BALMORAL RACING CLUB, INC.",NOVEMBER 
2011,705981,"BALMORAL RACING CLUB, INC. - IT.",NOVEMBER 
2011,425710,FAIRMOUNT AT ALTON - OTB,NOVEMBER 
2011,735208,FAIRMOUNT AT SAUGET - OTB,NOVEMBER 
2011,451209,FAIRMOUNT AT SPRINGFIELD - OTB,NOVEMBER 
2011,2521543,"FAIRMOUNT PARK, INC. - IT.",NOVEMBER 
2011,609472,HAWTHORNE AT AURORA - OTB,NOVEMBER 
2011,495202,HAWTHORNE AT BUFFALO GROVE - OTB,NOVEMBER 
2011,1926637,"HAWTHORNE AT CHICAGO, CORLISS - OTB",NOVEMBER 
2011,1010037,HAWTHORNE AT JOLIET - OTB,NOVEMBER 
2011,1056949,HAWTHORNE AT MOKENA - OTB,NOVEMBER 
2011,167191,HAWTHORNE AT YORKVILLE - OTB,NOVEMBER 
2011,4753297,"HAWTHORNE RACE COURSE, INC.",NOVEMBER 
2011,836775,"HAWTHORNE RACE COURSE, INC. - IT.",NOVEMBER 
2011,597574,MAYWOOD AT ELK GROVE VILLAGE - OTB,NOVEMBER 
2011,2153952,MAYWOOD AT NILES - OTB,NOVEMBER 
2011,530241,MAYWOOD AT NORTH AURORA - OTB,NOVEMBER 
2011,1872747,MAYWOOD AT OAKBROOK - OTB,NOVEMBER 
2011,2570058,MAYWOOD PARK TROTTING ASSOCIATION -IT.,NOVEMBER 
2011,711645,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",NOVEMBER 
2011,537465,QUAD CITY AT LOCKPORT - OTB,NOVEMBER 
2011,807329,QUAD CITY AT MCHENRY - OTB,NOVEMBER 
2011,838902,QUAD CITY AT ROCKFORD - OTB,NOVEMBER 
2011,398815,QUAD CITY AT SOUTH BELOIT - OTB,NOVEMBER 
2011,623735,QUAD CITY AT SOUTH ELGIN - OTB,NOVEMBER 
2011,648644,"QUAD CITY DOWNS, INC. - IT.",NOVEMBER 
2011,1495566,YOUBET ADW,NOVEMBER 
2011,3565199,TWIN SPIRES ADW,NOVEMBER 
2011,2820211,TVG ADW,NOVEMBER 
2011,119114,BETZOTIC ADW,NOVEMBER 
2011,1042853,XPRESSBET ADW,NOVEMBER 
2011,3168541,"ARLINGTON AT CHICAGO, WEED STREET -OTB",DECEMBER 
2011,1497122,ARLINGTON AT HODGKINS - OTB,DECEMBER 
2011,892720,ARLINGTON AT VILLA PARK,DECEMBER 
2011,1420344,ARLINGTON AT WAUKEGAN - OTB,DECEMBER 
2011,4485519,ARLINGTON PARK RACECOURSE - IT.,DECEMBER 
2011,358138,BALMORAL AT CHAMPAIGN - OTB,DECEMBER 
2011,2138471,BALMORAL AT CRESTWOOD - OTB,DECEMBER 
2011,316360,BALMORAL AT NORMAL - OTB,DECEMBER 
2011,735769,"BALMORAL RACING CLUB, INC.",DECEMBER 
2011,778195,"BALMORAL RACING CLUB, INC. - IT.",DECEMBER 
2011,336830,FAIRMOUNT AT ALTON - OTB,DECEMBER 
2011,726803,FAIRMOUNT AT SAUGET - OTB,DECEMBER 
2011,485946,FAIRMOUNT AT SPRINGFIELD - OTB,DECEMBER 
2011,2242372,"FAIRMOUNT PARK, INC. - IT.",DECEMBER 
2011,624919,HAWTHORNE AT AURORA - OTB,DECEMBER 
2011,469729,HAWTHORNE AT BUFFALO GROVE - OTB,DECEMBER 
2011,2063858,"HAWTHORNE AT CHICAGO, CORLISS - OTB",DECEMBER 
2011,990980,HAWTHORNE AT JOLIET - OTB,DECEMBER 
2011,938531,HAWTHORNE AT MOKENA - OTB,DECEMBER 
2011,166926,HAWTHORNE AT YORKVILLE - OTB,DECEMBER 
2011,4535444,"HAWTHORNE RACE COURSE, INC.",DECEMBER 
2011,820159,"HAWTHORNE RACE COURSE, INC. - IT.",DECEMBER 
2011,623275,MAYWOOD AT ELK GROVE VILLAGE - OTB,DECEMBER 
2011,2156471,MAYWOOD AT NILES - OTB,DECEMBER 
2011,488326,MAYWOOD AT NORTH AURORA - OTB,DECEMBER 
2011,1936095,MAYWOOD AT OAKBROOK - OTB,DECEMBER 
2011,2589967,MAYWOOD PARK TROTTING ASSOCIATION -IT.,DECEMBER 
2011,828556,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",DECEMBER 
2011,528565,QUAD CITY AT LOCKPORT - OTB,DECEMBER 
2011,773253,QUAD CITY AT MCHENRY - OTB,DECEMBER 
2011,885242,QUAD CITY AT ROCKFORD - OTB,DECEMBER 
2011,389311,QUAD CITY AT SOUTH BELOIT - OTB,DECEMBER 
2011,593666,QUAD CITY AT SOUTH ELGIN - OTB,DECEMBER 
2011,620044,"QUAD CITY DOWNS, INC. - IT.",DECEMBER 
2011,1562800,YOUBET ADW,DECEMBER 
2011,3227611,TWIN SPIRES ADW,DECEMBER 
2011,2682619,TVG ADW,DECEMBER 
2011,92048,BETZOTIC ADW,DECEMBER 
2011,859113,XPRESSBET ADW,DECEMBER 
